Id,Action
1,0.928
2,1
3,1
4,1
5,1
6,0.998
7,0.974
8,1
9,0.974
10,1
11,1
12,1
13,1
14,0.57
15,1
16,0.992
17,0.492
18,0.966
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0.994
27,1
28,1
29,0.998
30,0.984
31,1
32,0.998
33,0.988
34,1
35,1
36,1
37,0.998
38,1
39,1
40,0.986
41,0.672
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0.994
51,0.982
52,1
53,0.994
54,1
55,1
56,1
57,0.998
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0.996
67,1
68,1
69,0.996
70,0.716
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.99
79,0.86
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.976
91,1
92,0.774
93,1
94,0.998
95,1
96,1
97,0.632
98,1
99,1
100,1
101,0.998
102,0.96
103,1
104,1
105,0.936
106,1
107,1
108,1
109,1
110,1
111,0.96
112,1
113,0.998
114,1
115,1
116,0.998
117,1
118,1
119,1
120,1
121,0.984
122,1
123,0.986
124,1
125,1
126,0.982
127,0.974
128,0.84
129,0.996
130,1
131,1
132,1
133,1
134,0.908
135,1
136,1
137,1
138,0.968
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0.932
147,0.752
148,0.898
149,1
150,0.998
151,1
152,0.82
153,1
154,0.996
155,1
156,1
157,1
158,1
159,0.932
160,1
161,0.956
162,1
163,1
164,1
165,1
166,1
167,0.998
168,1
169,0.998
170,1
171,1
172,0.998
173,1
174,1
175,1
176,1
177,0.998
178,1
179,1
180,0.992
181,0.868
182,1
183,0.812
184,0.994
185,1
186,0.992
187,1
188,0.998
189,0.62
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0.998
199,1
200,0.964
201,1
202,1
203,0.996
204,1
205,1
206,1
207,1
208,1
209,0.762
210,0.798
211,0.996
212,1
213,1
214,1
215,1
216,1
217,0.984
218,1
219,1
220,1
221,0.33
222,1
223,1
224,1
225,0.988
226,0.992
227,1
228,1
229,1
230,1
231,1
232,1
233,0.992
234,0.058
235,0.966
236,1
237,1
238,0.994
239,0.996
240,1
241,1
242,0.536
243,0.828
244,1
245,1
246,1
247,1
248,0.988
249,1
250,1
251,1
252,0.702
253,1
254,1
255,1
256,0.996
257,1
258,0.998
259,1
260,1
261,0.996
262,1
263,1
264,1
265,1
266,1
267,0.944
268,1
269,0.99
270,1
271,1
272,1
273,0.998
274,0.49
275,1
276,0.978
277,1
278,1
279,0.948
280,0.914
281,1
282,1
283,0.71
284,1
285,1
286,0.998
287,1
288,1
289,1
290,1
291,0.424
292,0.924
293,1
294,1
295,1
296,0.936
297,0.514
298,0.998
299,0.808
300,1
301,0.752
302,1
303,0.992
304,0.854
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0.964
318,1
319,0.174
320,1
321,1
322,0.898
323,1
324,0.996
325,0.884
326,0.976
327,0.998
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0.996
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0.87
351,1
